4f8e5b81e80eb0e420091588 2 1----Employment----TITLE.HEAD.HTML.#document	ratemyprofessorscom:1 univers:1 california:1 satish:1 rao:1 berkelei:1	||	Satish Rao - University of California Berkeley - RateMyProfessors.com	##true@@false$$		||	ORGANIZATION: University of California Berkeley; 	LOCATION: RateMyProfessors.com; 	NOUN: Satish Rao; University; California Berkeley; RateMyProfessors.com; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 0 6----Research----#text.LI.UL.DIV.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	acm:1 conquer:1 rao:1 divid:1 us:1 juli:1 approxim:1 naor:1 algorithm:1 vol:1 metric:1 schieber:1 spread:1 pp:1	||	G. Even, J. S. Naor, S. Rao, and B. Schieber, "	##false@@false$$	Divide-and-conquer approximation algorithms using spreading metrics	##false@@true$$	,"	##false@@false$$	J. ACM	##true@@false$$	, vol. 47, no. 4, pp. 585-616, July 2000.	##false@@false$$		||	PERSON: J. S. Naor; S. Rao; B. Schieber; 	DATE: 2000; 	NOUN: G.; J. S. Naor; S. Rao; B. Schieber; approximation algorithms; metrics; J. ACM; vol; pp; July; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 7----Research----#text.LI.UL.DIV.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	min:1 max:1 acm:1 theorem:1 rao:1 us:1 flow:1 approxim:1 multicommod:1 algorithm:1 leighton:1 vol:1 nov:1 cut:1 pp:1 design:1	||	T. Leighton and S. Rao, "	##false@@false$$	Multicommodity max-flow min-cut theorems and their use in designing approximation algorithms	##false@@true$$	,"	##false@@false$$	J. ACM	##true@@false$$	, vol. 46, no. 6, pp. 787-832, Nov. 1999.	##false@@false$$		||	PERSON: T. Leighton; S. Rao; 	DATE: 1999; 	NOUN: T. Leighton; S. Rao; theorems; use; approximation algorithms; J. ACM; vol; pp; Nov.; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 8----Research----#text.LI.UL.DIV.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	parallel:1 model:1 tsantila:1 portabl:1 suel:1 rao:1 goudreau:1 us:1 juli:1 tran:1 lang:1 vol:1 ieee:1 bsp:1 comput:2 effici:1 pp:1	||	M. W. Goudreau, K. Lang, S. Rao, T. Suel, and T. Tsantilas, "	##false@@false$$	Portable and efficient parallel computing using the BSP model	##false@@true$$	,"	##false@@false$$	IEEE Trans. Computers	##true@@false$$	, vol. 48, no. 7, pp. 670-689, July 1999.	##false@@false$$		||	ORGANIZATION: BSP; 	PERSON: M. W. Goudreau; K. Lang; S. Rao; T. Suel; T. Tsantilas; 	DATE: 1999; 	NOUN: M. W. Goudreau; K. Lang; S. Rao; T. Suel; T. Tsantilas; computing; BSP model; IEEE Trans; Computers; vol; no.; pp; July; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 9----Research----#text.LI.UL.DIV.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	press:1 annual:1 acm:1 symp:1 rao:1 preserv:1 ny:1 embed:1 distort:1 metric:1 planar:1 comput:1 york:1 volum:1 pp:1 small:1 euclidean:1 geometri:1 proc:1	||	S. Rao, "	##false@@false$$	Small distortion and volume preserving embeddings for planar and Euclidean metrics	##false@@true$$	," in	##false@@false$$	Proc. 15th Annual Symp. on Computational Geometry	##true@@false$$	, New York, NY: ACM Press, 1999, pp. 300-306.	##false@@false$$		||	ORGANIZATION: Computational Geometry; 	PERSON: S. Rao; 	DATE: 1999; 	LOCATION: New York; 	NOUN: S. Rao; distortion; volume preserving embeddings; planar; metrics; Proc; Symp; Computational Geometry; New York; NY; ACM Press; pp; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 10----Others----#text.LI.UL.DIV.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	vol:1 barrier:1 acm:1 decomposit:1 rao:1 goldberg:1 sep:1 flow:1 pp:1 beyond:1	||	A. V. Goldberg and S. Rao, "	##false@@false$$	Beyond the flow decomposition barrier	##false@@true$$	,"	##false@@false$$	J. ACM	##true@@false$$	, vol. 45, no. 5, pp. 783-797, Sep. 1998.	##false@@false$$		||	PERSON: A. V. Goldberg; S. Rao; 	DATE: 1998; 	NOUN: A. V. Goldberg; S. Rao; flow decomposition barrier; J. ACM; vol; pp; Sep.; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 11----Research----#text.LI.UL.DIV.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	lo:1 region:1 ca:1 segment:1 rao:1 recognit:1 conf:1 imag:1 cox:1 techniqu:1 ieee:1 vol:1 zhong:1 pattern:1 ratio:1 societi:1 intl:1 comput:1 pp:1 alamito:1 proc:1	||	I. J. Cox, S. Rao, and Y. Zhong, "	##false@@false$$	"Ratio regions": A technique for image segmentation	##false@@true$$	," in	##false@@false$$	Proc. 13th Intl. Conf. on Pattern Recognition	##true@@false$$	, Vol. 2, Los Alamitos, CA: IEEE Computer Society, 1996, pp. 557-564.	##false@@false$$		||	ORGANIZATION: 13th Intl.; Computer Society; 	PERSON: I. J. Cox; S. Rao; Y. Zhong; 	DATE: 1996; 	LOCATION: Los Alamitos; 	NOUN: I. J. Cox; S. Rao; Y. Zhong; Ratio regions; technique; image segmentation; Proc; Intl.; Conf; Pattern Recognition; Vol; Los Alamitos; CA; IEEE Computer Society; pp; 557-564; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 12----Research----#text.LI.UL.DIV.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	shop:1 combinatorica:1 june:1 rao:1 job:1 schedul:1 rout:1 magg:1 leighton:1 dilat:1 vol:1 congest:1 packet:1 pp:1 step:1	||	F. T. Leighton, B. M. Maggs, and S. Rao, "	##false@@false$$	Packet routing and job-shop scheduling in O(congestion + dilation) steps	##false@@true$$	,"	##false@@false$$	Combinatorica	##true@@false$$	, vol. 14, no. 2, pp. 167-186, June 1994.	##false@@false$$		||	PERSON: F. T. Leighton; B. M. Maggs; S. Rao; Combinatorica; 	DATE: 1994; 	NOUN: F. T. Leighton; B. M. Maggs; S. Rao; Packet; scheduling; O; congestion; dilation; steps; Combinatorica; vol; no.; pp; June; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 13----Others----#text.H4.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	inform:1 contact:1	||	Contact Information	##true@@false$$		||	NOUN: Contact Information; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 14----Address----#text.P.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	hall:1 soda:1	||	681 Soda Hall	##false@@false$$		||	NOUN: Soda Hall; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 15----Phone----#text.P.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	tel:1	||	tel: 510-642-4328	##false@@false$$		||	NOUN: tel; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 16----Email----#text.P.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	satishr:1 cs:1	||	satishr@cs	##false@@false$$		||	NOUN: satishr@cs; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 0 17----Others----#text.H4.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	offic:1 hour:1	||	Office Hours	##true@@false$$		||	NOUN: Office Hours; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 0 18----Others----#text.P.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	soda:1	||	T 1-2, W 2-3, 679 Soda	##false@@false$$		||	NOUN: T; W; Soda; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 0 19----Others----#text.H4.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	assist:1	||	Assistant	##true@@false$$		||	NOUN: Assistant; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 0 20----Others----#text.P.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	chen:1 olivia:1	||	Olivia Chen	##false@@false$$		||	LOCATION: Olivia Chen; 	NOUN: Olivia Chen; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 0 21----Others----#text.P.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	soda:1	||	695 Soda	##false@@false$$		||	NOUN: Soda; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 0 23----Others----#text.P.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	theoryadmin:1 eec:1	||	theoryadmin@eecs	##false@@false$$		||	NOUN: theoryadmin@eecs; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 0 24----Others----#text.P.TD.TR.TBODY.TABLE.TD.TR.TBODY.TABLE.BODY.HTML.#document	incomplet:1 address:1 email:1 berkeleyedu:1 add:1	||	Add .berkeley.edu to any incomplete email address.	##false@@false$$		||	NOUN: berkeley.edu; email address; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 1 1----Others----TITLE.HEAD.HTML.#document	home:1 page:1 satish:1	||	Satish Rao's Home Page	##true@@false$$		||	PERSON: Satish Rao; 	NOUN: Satish Rao; Home Page; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 1 2----Research----#text.A.TD.TR.TBODY.TABLE.BODY.HTML.#document	theor:1 mst:1 matroid:1 gener:1 samantha:1 minimum:1 rao:1 relabel:1 problem:1 approxim:2 talwar:1 push:1 algorithm:1 degre:1 http:1 chaudhuri:1 satish:1 kamalika:1 comput:1 sci:1 bib:1 riesenfeld:1 kunal:1	||	Kamalika Chaudhuri, Satish Rao, Samantha Riesenfeld, and Kunal Talwar. A push-relabel approximation algorithm for approximating the minimum-degree mst problem and its generalization to matroids.	##false@@false$$	Theor. Comput. Sci.	##true@@false$$	, 410(44):4489-4503, 2009. [	##false@@false$$	bib	##false@@true$$	http	##false@@true$$		||	PERSON: Kamalika Chaudhuri; Satish Rao; Samantha Riesenfeld; Kunal Talwar; 	DATE: 2009; 	NOUN: Kamalika Chaudhuri; Satish Rao; Samantha Riesenfeld; Kunal Talwar; approximation algorithm; mst problem; generalization; matroids; Theor; Comput; Sci; bib http; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 1 3----Research----#text.A.TD.TR.TBODY.TABLE.BODY.HTML.#document	anomali:1 rubinstein:1 benjamin:1 sigmetr:1 rao:1 perform:1 huang:1 ling:1 shing:1 detector:1 blain:1 nelson:1 nina:1 bib:1 lau:1 stealthi:1 tygar:1 poison:1 evalu:1 anthoni:1 hon:1 joseph:1 taft:1 http:1 satish:1 base:1 pca:1 attack:1 review:1	||	Benjamin I. P. Rubinstein, Blaine Nelson, Ling Huang, Anthony D. Joseph, Shing hon Lau, Satish Rao, Nina Taft, and J. D. Tygar. Stealthy poisoning attacks on pca-based anomaly detectors.	##false@@false$$	SIGMETRICS Performance Evaluation Review	##true@@false$$	, 37(2):73-74, 2009. [	##false@@false$$	bib	##false@@true$$	http	##false@@true$$		||	ORGANIZATION: SIGMETRICS Performance Evaluation Review; 	PERSON: Benjamin I. P. Rubinstein; Blaine Nelson; Ling Huang; Anthony D. Joseph; Shing hon Lau; Satish Rao; Nina Taft; J. D. Tygar; 	DATE: 2009; 	NOUN: Benjamin I. P. Rubinstein; Blaine Nelson; Ling Huang; Anthony D. Joseph; Shing hon Lau; Satish Rao; Nina Taft; J. D. Tygar; poisoning attacks; anomaly detectors; SIGMETRICS Performance Evaluation Review; bib http; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 1 4----Research----#text.A.TD.TR.TBODY.TABLE.BODY.HTML.#document	mst:1 edmond:1 algorithmica:1 samantha:1 rao:1 talwar:1 augment:1 degre:1 http:1 chaudhuri:1 wit:1 satish:1 kamalika:1 path:1 bib:1 riesenfeld:1 kunal:1 bound:1	||	Kamalika Chaudhuri, Satish Rao, Samantha Riesenfeld, and Kunal Talwar. What would edmonds do? augmenting paths and witnesses for degree-bounded msts.	##false@@false$$	Algorithmica	##true@@false$$	, 55(1):157-189, 2009. [	##false@@false$$	bib	##false@@true$$	http	##false@@true$$		||	PERSON: Kamalika Chaudhuri; Satish Rao; Samantha Riesenfeld; Kunal Talwar; Algorithmica; 	DATE: 2009; 	NOUN: Kamalika Chaudhuri; Satish Rao; Samantha Riesenfeld; Kunal Talwar; edmonds; paths; witnesses; msts; Algorithmica; bib http; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 1 5----Research----#text.A.TD.TR.TBODY.TABLE.BODY.HTML.#document	jame:1 via:1 acm:1 partit:1 rao:1 eigenvalu:1 biswal:1 flow:1 punyashloka:1 lee:1 http:1 metric:1 satish:1 deform:1 bib:1 bound:1 spectral:1	||	Punyashloka Biswal, James R. Lee, and Satish Rao. Eigenvalue bounds, spectral partitioning, and metrical deformations via flows.	##false@@false$$	J. ACM	##true@@false$$	, 57(3), 2010. [	##false@@false$$	bib	##false@@true$$	http	##false@@true$$		||	PERSON: Punyashloka Biswal; James R. Lee; Satish Rao; 	DATE: 2010; 	NOUN: James R. Lee; Satish Rao; bounds; partitioning; deformations; flows; J. ACM; bib http; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 1 6----Research----#text.A.TD.TR.TBODY.TABLE.BODY.HTML.#document	maxcut:1 acm:1 snir:1 conquer:1 rao:1 divid:1 tran:1 bioinform:1 biologi:1 algorithm:1 ieee:1 http:1 satish:1 comput:1 bib:1 quartet:2 sagi:1	||	Sagi Snir and Satish Rao. Quartets maxcut: A divide and conquer quartets algorithm.	##false@@false$$	IEEE/ACM Trans. Comput. Biology Bioinform.	##true@@false$$	, 7(4):704-718, 2010. [	##false@@false$$	bib	##false@@true$$	http	##false@@true$$		||	PERSON: Sagi Snir; Satish Rao; 	DATE: 2010; 	NOUN: Sagi Snir; Satish Rao; Quartets maxcut; divide; quartets algorithm; IEEE\/ACM Trans; Comput; Biology Bioinform; bib http; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 1 7----Research----#text.A.TD.TR.TBODY.TABLE.BODY.HTML.#document	edg:1 moder:1 connect:1 siam:1 disjoint:1 rao:1 zhou:1 graph:1 http:1 shuheng:1 satish:1 path:1 comput:1 bib:1	||	Satish Rao and Shuheng Zhou. Edge disjoint paths in moderately connected graphs.	##false@@false$$	SIAM J. Comput.	##true@@false$$	, 39(5):1856-1887, 2010. [	##false@@false$$	bib	##false@@true$$	http	##false@@true$$		||	ORGANIZATION: SIAM J. Comput; 	PERSON: Satish Rao; Shuheng Zhou; 	DATE: 2010; 	NOUN: Satish Rao; Shuheng Zhou; Edge disjoint paths; graphs; SIAM J. Comput; bib http; 	||	##true@@false$$	||	##true@@false$$
4f8e5b81e80eb0e420091588 1 8----Research----#text.A.TD.TR.TBODY.TABLE.BODY.HTML.#document	rubinstein:1 benjamin:1 rao:1 steven:1 doug:1 huang:1 ling:1 shing:1 journal:1 blain:1 proceed:1 nelson:1 bib:1 evas:1 convex:1 lau:1 optim:1 track:1 tygar:1 learn:1 tran:1 research:1 classifi:1 machin:1 anthoni:2 lee:1 hon:1 joseph:1 near:1 satish:1 html:1 induc:1	||	Blaine Nelson, Benjamin I. P. Rubinstein, Ling Huang, Anthony D. Joseph, Shing hon Lau, Steven J. Lee, Satish Rao, Anthony Tran, and J. Doug Tygar. Near-optimal evasion of convex-inducing classifiers.	##false@@false$$	Journal of Machine Learning Research - Proceedings Track	##true@@false$$	, 9:549-556, 2010. [	##false@@false$$	bib	##false@@true$$	.html	##false@@true$$		||	ORGANIZATION: Journal of Machine Learning Research; 	PERSON: Blaine Nelson; Benjamin I. P. Rubinstein; Ling Huang; Anthony D. Joseph; Shing hon Lau; Steven J. Lee; Satish Rao; Anthony Tran; J. Doug Tygar; 	DATE: 2010; 	NOUN: Blaine Nelson; Benjamin I. P. Rubinstein; Ling Huang; Anthony D. Joseph; Shing hon Lau; Steven J. Lee; Satish Rao; Anthony Tran; J. Doug Tygar; evasion; classifiers; Journal; Machine Learning Research; Proceedings Track; bib; html; 	||	##true@@false$$	||	##true@@true$$
4f8e5b81e80eb0e420091588 1 9----Research----#text.A.TD.TR.TBODY.TABLE.BODY.HTML.#document	anomali:1 rubinstein:1 understand:1 benjamin:1 rao:1 huang:1 ling:1 shing:1 detector:1 page:1 blain:1 nelson:1 nina:1 bib:1 lau:1 mathi:1 tygar:1 poison:1 anthoni:1 hon:1 joseph:1 taft:1 http:1 feldmann:1 satish:1 defend:1 antidot:1	||	Benjamin I. P. Rubinstein, Blaine Nelson, Ling Huang, Anthony D. Joseph, Shing hon Lau, Satish Rao, Nina Taft, and J. D. Tygar. Antidote: understanding and defending against poisoning of anomaly detectors. In Feldmann and Mathy [	##false@@false$$	10	##false@@true$$	], pages 1-14. [	##false@@false$$	bib	##false@@true$$	http	##false@@true$$		||	PERSON: Benjamin I. P. Rubinstein; Blaine Nelson; Ling Huang; Anthony D. Joseph; Shing hon Lau; Satish Rao; Nina Taft; J. D. Tygar; Feldmann; Mathy; 	NOUN: Benjamin I. P. Rubinstein; Blaine Nelson; Ling Huang; Anthony D. Joseph; Shing hon Lau; Satish Rao; Nina Taft; J. D. Tygar; Antidote; understanding; poisoning; anomaly detectors; Feldmann; Mathy; pages; bib http; 	||	##true@@false$$	||	##true@@true$$
4f8e5b81e80eb0e420091588 1 10----Research----#text.A.TD.TR.TBODY.TABLE.BODY.HTML.#document	algorithmica:1 hajiaghayi:1 rao:1 problem:1 mohammad:1 karloff:1 taghi:1 mose:1 charikar:1 order:1 http:1 metric:1 vertex:1 satish:1 howard:1 bib:1 spread:1	||	Moses Charikar, Mohammad Taghi Hajiaghayi, Howard J. Karloff, and Satish Rao.	##false@@false$$	spreading metrics for vertex ordering problems.	##false@@false$$	Algorithmica	##true@@false$$	, 56(4):577-604, 2010. [	##false@@false$$	bib	##false@@true$$	http	##false@@true$$		||	PERSON: Moses Charikar; Mohammad Taghi Hajiaghayi; Howard J. Karloff; Satish Rao; Algorithmica; 	DATE: 2010; 	NOUN: Moses Charikar; Mohammad Taghi Hajiaghayi; Howard J. Karloff; Satish Rao; metrics; vertex; problems; Algorithmica; bib http; 	||	##true@@false$$	||	##true@@true$$
4f8e5b81e80eb0e420091588 1 12----Research----#text.A.TD.TR.TBODY.TABLE.BODY.HTML.#document	acm:1 pitassi:1 ny:1 usa:1 symposium:1 karloff:1 confer:1 mai:1 editor:1 http:1 stoc:1 howard:1 proceed:1 toniann:1 comput:1 theori:1 york:1 bib:1	||	Howard J. Karloff and Toniann Pitassi, editors.	##false@@false$$	Proceedings of the 44th Symposium on Theory of Computing Conference, STOC 2012, New York, NY, USA, May 19 - 22, 2012	##true@@false$$	. ACM, 2012. [	##false@@false$$	bib	##false@@true$$	http	##false@@true$$		||	PERSON: Howard J. Karloff; Toniann Pitassi; 	DATE: 2012; 2012; 2012; 	LOCATION: New York; USA; 	NOUN: Howard J. Karloff; Toniann Pitassi; editors; Proceedings; Symposium; Theory; Computing Conference; STOC; New York; NY; USA; May; ACM; bib http; 	||	##true@@false$$	||	##true@@true$$
4f8e5b81e80eb0e420091588 1 13----Others----#text.EM.P.BODY.HTML.#document	gener:1 list:1	||	The above list was generated by	##true@@false$$	bibtex2html	##false@@true$$	1.95.	##true@@false$$		||	NOUN: list; bibtex2html; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 1 14----Others----#text.H2.A.BODY.HTML.#document	paper:1 select:1	||	Selected papers	##true@@true$$		||	NOUN: papers; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 1 15----Research----#text.A.LI.UL.BODY.HTML.#document	barrier:1 decomposit:1 flow:1 beyond:1	||	Beyond the Flow Decomposition Barrier.	##false@@true$$		||	NOUN: Flow Decomposition Barrier; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 1 16----Research----#text.DD.DL.LI.UL.BODY.HTML.#document	andrew:1 goldberg:1 jacm:1	||	In JACM 2001. (With Andrew Goldberg.)	##false@@false$$		||	PERSON: Andrew Goldberg; 	DATE: 2001; 	NOUN: JACM; Andrew Goldberg; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 1 17----Research----#text.A.LI.DD.DL.LI.UL.BODY.HTML.#document	distort:1 metric:1 preserv:1 planar:1 volum:1 euclidean:1 small:1 embed:1	||	Small distortion and volume preserving embeddings for Planar and Euclidean metrics.	##false@@true$$		||	NOUN: distortion; volume preserving embeddings; Planar; metrics; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 1 18----Research----#text.DD.DL.LI.UL.BODY.HTML.#document	june:1 comput:1 symposium:1 geometri:1	||	In Symposium on Computational Geometry, June 1999.	##false@@false$$		||	ORGANIZATION: Computational Geometry; 	DATE: 1999; 	NOUN: Symposium; Computational Geometry; June; 	||	##true@@false$$	||	##false@@false$$
4f8e5b81e80eb0e420091588 1 19----Research----#text.A.LI.DD.DL.LI.UL.BODY.HTML.#document	model:1 toward:1 portabl:1 bsp:1 program:1 effici:1	||	Towards Efficiency and Portability: Programming with the BSP Model.	##false@@true$$		||	ORGANIZATION: BSP; 	NOUN: Efficiency; Portability; BSP Model; 	||	##true@@false$$	||	##false@@false$$
