-1763063096 2 1----Price----#text.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	increas:1 car:2 hp:1 pair:1 xl:2 camri:2 automat:1 transmiss:1 toyota:1 version:1 six:1 mode:1 level:1 order:1 basic:1 full:1 graduat:1 luxuri:1 trim:1 avalon:3 lineup:1 limit:1 liter:1 consist:1 speed:1 choic:1 list:1 us:1 offer:1 size:1 manual:1 powertrain:1 price:1 fact:1 stretch:1 previou:1 shift:1	||	Toyota s Avalon is a full-size car for those who have graduated from the Camry. In fact, the Avalon is basically a stretched version of the previous Camry and uses that car s 268-hp, 3.5-liter V-6 paired with a six-speed automatic transmission with manual shift mode. No other powertrain choices are offered. For 2009, the Avalon lineup consists of three trim levels: XL, XLS, and Limited, listed in order of increasing luxury and price.	##false@@false$$		||	ORGANIZATION: Toyota; Avalon; XLS; 	DATE: 2009; 	NOUN: Toyota; Avalon; car; Camry; fact; Avalon; version; Camry; car s; V-6; transmission; shift mode; powertrain choices; Avalon lineup; levels; XL; XLS; Limited; order; luxury; price; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 12----Price----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	headlamp:1 wheel:1 connect:1 hid:1 wood:1 wiper:1 watt:1 kei:2 passeng:1 upgrad:1 seat:1 heater:1 power:1 driver:1 synthesi:1 trim:1 sens:1 avalon:1 leather:1 rain:1 knob:1 cool:1 limit:1 audio:1 speaker:1 proxim:1 rear:1 windshield:1 fan:1 sunshad:1 system:2 blue:1 tooth:1 steer:1 jbl:1 smart:1 shift:1	||	The Avalon Limited (35,185) upgrades with a 360-watt JBL Synthesis audio system with 12 speakers and Blue Tooth connectivity, a power rear sunshade, Toyota's Smart Key proximity key system, HID headlamps, a wood-and-leather-trimmed shift knob and steering wheel, rain-sensing windshield wipers, and driver and passenger seat heaters and cooling fans.	##false@@false$$		||	ORGANIZATION: JBL Synthesis; Toyota; 	NOUN: Avalon Limited; upgrades; JBL Synthesis audio system; speakers; Tooth connectivity; power; sunshade; Toyota; Smart Key proximity; system; HID headlamps; shift knob; wheel; windshield wipers; driver; passenger seat heaters; fans; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 13----Price----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	theft:1 model:1 xl:2 navig:1 heat:2 eight:1 passeng:1 seat:2 power:2 laser:1 cruis:1 synthesi:1 option:2 dynam:1 limit:1 control:1 includ:1 anti:1 front:1 avail:1 offer:1 moonroof:1 guid:1 system:3 sound:1 base:1 jbl:1	||	Options include the power moonroof (860) and anti-theft system (220) for the base XL model. The XLS offers heated seats (440), an eight-way power front passenger seat with heating (740) and the JBL Synthesis sound system (840). A navigation system is also available. Dynamic laser-guided cruise control (600) is optional only on the Limited.	##false@@false$$		||	ORGANIZATION: XLS; JBL Synthesis; 	NOUN: Options; power moonroof; system; base XL model; XLS; seats; power front passenger seat; heating; JBL Synthesis sound system; navigation system; Dynamic; cruise control; Limited; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 14----Safety----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	cradl:1 model:1 vehicl:1 ebd:1 outboard:1 distribut:1 whiplash:1 protect:2 activ:1 impact:3 airbag:4 headrest:1 passeng:2 style:1 side:1 seat:2 electron:1 head:2 forc:1 avalon:1 vsc:1 knee:1 brake:3 limit:1 control:1 safeti:1 includ:2 standard:1 anti:1 rear:2 injuri:1 lock:1 assist:1 front:4 stabil:1 curtain:1 mount:1 effect:1 featur:2 occup:1 ab:1 intend:1	||	Safety features on all Avalons include active front seat headrests, which are intended to cradle the head more effectively in a rear impact and limit whiplash injuries. Vehicle Stability Control (VSC) is standard. All models also have anti-lock brakes (ABS) with electronic brake-force distribution (EBD) and Brake Assist. Occupant protecting features include front-impact airbags, a driver's knee airbag, seat-mounted side-impact airbags for front passengers and curtain-style, head-protection airbags for outboard passengers front and rear.	##false@@false$$		||	ORGANIZATION: Vehicle Stability Control; 	NOUN: Safety features; Avalons; seat headrests; cradle; head; impact; limit whiplash injuries; Vehicle Stability Control; VSC; models; brakes; ABS; brake-force distribution; EBD; Brake Assist; Occupant; features; airbags; driver; knee airbag; airbags; passengers; airbags; outboard passengers; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 15----Others----#text.H3.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	walkaround:1	||	Walkaround	##true@@false$$		||	NOUN: Walkaround; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 16----Exterior----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	look:2 reveal:1 underst:1 impressionist:1 theme:1 french:1 glanc:1 closer:1 impact:1 toyota:1 close:1 sophist:1 almost:1 style:1 eleg:1 dignifi:1 inspir:1 examin:1 sens:1 avalon:2 inspect:1	||	At a glance, the Toyota Avalon looks dignified and understated, but closer inspection reveals some sophisticated styling themes that inspire a sense of elegance. Examined more closely, the Avalon almost looks French in its impressionistic impact.	##false@@false$$		||	ORGANIZATION: Toyota Avalon; 	NOUN: glance; Toyota Avalon; inspection; styling themes; sense; elegance; Avalon; impact; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 17----Exterior----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	exterior:1 overal:1 camri:1 roughli:1 smaller:1 eight:1 full:1 sell:1 longer:1 ford:1 luxuri:1 avalon:2 top:1 inch:1 larger:1 merced:1 class:2 dimens:1 size:3 chrysler:1 european:1 impala:1 sedan:3 chevrolet:1 tauru:1 mid:1 compar:1	||	Overall, the Avalon is eight inches longer than Toyota's top-selling Camry sedan. By most exterior dimensions, Avalon is roughly the same size as the Ford Taurus, Chevrolet Impala, and Chrysler 300. Compared to European luxury sedans, it's larger than the mid-size Mercedes E-Class, but smaller than the full-size S-Class sedan.	##false@@false$$		||	ORGANIZATION: Toyota; Avalon; Chevrolet Impala; Chrysler; 	NOUN: Avalon; inches; Toyota; Camry sedan; dimensions; Avalon; size; Ford Taurus; Chevrolet Impala; Chrysler; luxury sedans; Mercedes E-Class; S-Class sedan; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 18----Exterior----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	car:1 placement:1 wiper:1 line:1 nois:1 mirror:1 upgrad:1 uniqu:1 style:1 dampen:1 side:1 glass:1 hood:1 avalon:1 limit:1 wind:1 includ:1 optim:1 windshield:2 shape:1 sound:1 featur:1 lot:1 pillar:1 insid:1 reduc:1 low:1	||	Lots of the Avalon's styling features have been optimized to reduce wind noise inside the car, including the shape of the windshield pillars and side mirrors and low placement of the wipers under the hood line. The Avalon Limited upgrades with unique, sound dampening glass in the windshield.	##false@@false$$		||	ORGANIZATION: Avalon Limited; 	NOUN: Lots; Avalon; styling features; wind noise; car; shape; windshield pillars; side; placement; wipers; hood line; Avalon Limited upgrades; glass; windshield; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 19----Exterior----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	limit:1 turn:1 model:1 includ:1 bright:1 visibl:1 ground:1 door:1 coupl:1 signal:1 mirror:2 specif:1 led:2 start:1 flood:1 dark:1 glass:1 featur:1 approach:1 driver:1 light:2	||	The Limited mirrors also include a couple model specific features, starting with LED turn signals that are visible to other drivers in the glass. We like the bright LED lights under those mirrors, because they flood the ground below the doors with light as you approach in darkness.	##false@@false$$		||	NOUN: couple model; features; turn signals; drivers; glass; LED lights; flood; ground; doors; light; darkness; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 20----Exterior----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	look:1 usual:1 car:2 call:1 model:1 get:1 wheel:1 redesign:1 cycl:1 receiv:1 overhaul:1 industri:1 notic:1 ident:1 underw:1 updat:1 style:1 extens:1 tweak:1 mid:1 avalon:1 complet:1	||	The Avalon underwent a wheels-up overhaul for 2005. For 2008, it received what the car industry calls a mid-cycle update, or noticeable styling tweaks that are as extensive as a car usually gets between complete redesigns. The 2009 model looks identical to the '08.	##false@@false$$		||	DATE: 2005; 2008; 2009; 	NOUN: Avalon; overhaul; car industry; tweaks; car; redesigns; model; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 21----Exterior----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	model:1 lower:1 integr:1 grill:1 xl:1 chrome:1 line:1 door:1 add:2 subtl:1 substanc:1 side:1 valanc:1 horizont:1 bumper:2 deck:1 trim:1 light:1 tall:1 limit:1 flank:1 sill:1 flair:1 charact:1 rear:2 front:1 hint:2 lens:1 tail:1 sculpt:1 smoke:1 window:1 fog:1 eleg:1 lamp:1 air:1 view:1 enhanc:1 big:1 bar:1	||	In front, the grille and bumper are trimmed with horizontal chrome bars, with fog lamps integrated into the lower bumper on XLS and Limited models. In side view, subtle character lines below the windows and above the door sills add a hint of sculpting to the Avalon's flanks. From the rear, the tall deck and big rear valance enhance the air of elegance and substance, while smoked tail light lenses add a hint of flair.	##false@@false$$		||	NOUN: front; grille; bumper; chrome bars; fog lamps; bumper; XLS; Limited models; side view; character lines; windows; door sills; hint; Avalon; flanks; rear; deck; valance; air; elegance; substance; tail light lenses; hint; flair; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 22----Interior----#text.H3.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	interior:1	||	Interior	##true@@false$$		||	NOUN: Interior; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 23----Interior----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	perspect:1 interior:1 cabin:1 seren:1 craft:1 finest:1 class:1 offer:1 quiet:1 function:1 contribut:1 rank:1 rate:1 ambienc:1 sedan:1 packag:1 spaciou:1 avalon:1 top:1	||	The Avalon sedan offers one of Toyota's finest interior packages. It's quiet, well-crafted and more than spacious, and we'd rank it at the top of its class. The cabin contributes to the Avalon's serene ambience, and from the functional perspective it's first rate.	##false@@false$$		||	ORGANIZATION: Toyota; 	NOUN: Avalon sedan; Toyota; packages; top; class; cabin; Avalon; ambience; perspective; rate; 	||	##true@@false$$	||	##false@@false$$
-1763063096 6 24----Interior----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	car:1 panel:1 interior:1 plastic:1 impecc:1 wood:1 gener:1 overal:1 good:2 toyota:1 fond:1 fit:1 pretti:1 trim:2 luxuri:1 avalon:2 look:1 feel:1 extra:2 silver:1 qualiti:2 variou:1 hous:1 paint:1 piec:1 seem:1 around:1 glossi:1 materi:1 grain:1 steer:1 column:1 expens:1 insid:1 demonstr:1 part:2 design:1	||	Materials are generally good quality. A few trim pieces, such as silver-painted plastic parts and the housing around the steering column, demonstrate that Avalon is not an extra-expensive luxury car. But the fit of the various parts and panels is impeccable, and overall Avalon's interior feels like quality. Even the extra-glossy, wood-grain trim Toyota designers seem so fond of looks pretty good inside the Avalon.	##false@@false$$		||	ORGANIZATION: Avalon; Avalon; Toyota; 	NOUN: Materials; quality; pieces; plastic parts; housing; column; Avalon; luxury car; fit; parts; panels; Avalon; quality; Toyota designers; Avalon; 	||	##true@@false$$	||	##false@@false$$
